Open,Max,Min,Close,UP,Uprate,predict,amount,opinion,date
3152.89,3153.11,3096.1,3110.65,-48.4,-1.53,-0.001905022,15441570000,0,20180416
3112.97,3118.76,3064.03,3066.8,-43.85,-1.41,0.012262094,14722285000,0,20180417
3091.91,3096.89,3041.63,3091.4,24.6,0.8,0.005401196,15929050000,1,20180418
3094.27,3127.44,3090.29,3117.38,25.98,0.84,0.00773111,16005681000,0,20180419
3105.46,3111.17,3065.92,3071.54,-45.84,-1.47,0.008614954,15514709000,1,20180420
3063.44,3085.06,3045.94,3068.01,-3.53,-0.11,0.012247995,13168634000,1,20180423
3069.75,3136.04,3069.75,3128.93,60.92,1.99,0.007725419,16227481000,0,20180424
3112.4,3122.91,3107,3117.97,-10.96,-0.35,0.007638788,12731105300,1,20180425
3119.5,3121.93,3067.93,3075.03,-42.94,-1.38,6.18E-05,13397273600,1,20180426
3082.41,3088.03,3049.91,3082.23,7.2,0.23,0.000396259,13122564300,1,20180427
3087.41,3097.6,3064.76,3081.18,-1.05,-0.03,0.007075813,13418456600,1,20180502
3074.52,3105.66,3056.16,3100.86,19.68,0.64,0.005443852,13998562000,0,20180503
3093.12,3104.09,3086.78,3091.03,-9.83,-0.32,-0.00144395,11871126500,0,20180504
3094.9,3136.84,3091.66,3136.64,45.61,1.48,0.00217613,13894819000,0,20180507
3135.3,3169.7,3134.06,3161.5,24.86,0.79,0.004934998,14692706000,1,20180508
3160.14,3165.37,3145.66,3159.15,-2.35,-0.07,0.001775192,12263726800,1,20180509
3169.05,3176.14,3155.53,3174.41,15.26,0.48,0.004242366,13300075600,1,20180510
3179.8,3180.76,3162.21,3163.26,-11.15,-0.35,0.004661398,13065974900,1,20180511
3167.04,3183.82,3163.48,3174.03,10.77,0.34,0.004432766,12932735300,0,20180514
3180.42,3192.81,3164.52,3192.12,18.09,0.57,0.00494173,12454905100,1,20180515
3180.23,3191.95,3166.81,3169.57,-22.55,-0.71,0.001534192,13052496800,0,20180516
3170.01,3172.77,3148.62,3154.28,-15.29,-0.48,0.011075631,11399556700,0,20180517
3151.08,3193.45,3144.78,3193.3,39.02,1.24,0.009720238,13651692000,0,20180518
3206.18,3219.74,3203.34,3213.84,20.54,0.64,0.00305672,16445941000,0,20180521
3211.25,3214.59,3192.23,3214.35,0.51,0.02,0.003405424,14429268000,1,20180522
3205.44,3205.44,3168.96,3168.96,-45.39,-1.41,0.000161942,15780765000,0,20180523
3167.94,3173.53,3152.07,3154.65,-14.31,-0.45,0.007249797,12408580000,0,20180524
3148.41,3156.73,3131.07,3141.3,-13.35,-0.42,0.003814869,12861084300,0,20180525
3136.81,3149.66,3115.96,3135.08,-6.22,-0.2,0.013601791,12875591800,0,20180528
3129.62,3143.21,3112.15,3120.46,-14.62,-0.47,0.00492228,13571780000,1,20180529
3081.14,3085.4,3041,3041.44,-79.02,-2.53,0.011358205,15511513000,0,20180530
3061.83,3098.08,3054.27,3095.47,54.03,1.78,0.011076317,14047553000,1,20180531
3084.75,3102.09,3059.79,3075.14,-20.33,-0.66,0.003281001,12987219900,1,20180601
3083.43,3098.4,3076.99,3091.19,16.05,0.52,0.002225047,11459390200,1,20180604
3088.01,3114.77,3080.05,3114.21,23.02,0.74,0.010867407,11873559200,1,20180605
3109.17,3117.53,3103.53,3115.18,0.97,0.03,0.00354371,12019613500,1,20180606
3121.18,3128.72,3105.58,3109.5,-5.68,-0.18,0.009447275,12778497000,0,20180607
3100.6,3100.68,3053.29,3067.15,-42.35,-1.36,0.008915149,13468822000,0,20180608
3057.34,3063.61,3037.91,3052.78,-14.37,-0.47,0.004241588,10856378600,1,20180611
3053.03,3081.45,3034.1,3079.8,27.02,0.89,0.018025987,11327509600,1,20180612
3071.46,3071.46,3044.12,3049.8,-30,-0.97,0.000714546,11960788600,1,20180613
3038.07,3066.05,3032.41,3044.16,-5.64,-0.18,0.007521788,11546948700,0,20180614
3037.45,3048.8,3008.73,3021.9,-22.26,-0.73,0.008485636,14453257000,1,20180615
2982.65,2984.97,2871.35,2907.82,-114.08,-3.78,-0.002024634,23055007000,1,20180619
2889.98,2925.56,2872.16,2915.73,7.91,0.27,4.47E-05,14430142000,0,20180620
2912,2940.59,2872.62,2875.81,-39.92,-1.37,0.011615411,15437833000,1,20180621
2855.58,2891.97,2837.14,2889.76,13.95,0.49,0.000639522,12614312900,1,20180622
2903.45,2908.62,2857.87,2859.34,-30.42,-1.05,0.004765175,12191768700,1,20180625
2829.99,2850.24,2803.79,2844.51,-14.83,-0.52,0.002030028,12591846800,0,20180626
2842.4,2854.26,2798.8,2813.18,-31.33,-1.1,0.008372137,12942083300,0,20180627
2799.9,2825.99,2782.45,2786.9,-26.28,-0.93,0.009146301,11835790700,1,20180628
2789.81,2848.37,2782.38,2847.42,60.52,2.17,-0.004294865,12567168500,1,20180629
2841.58,2845.68,2756.82,2775.56,-71.86,-2.52,0.001596916,13703503000,1,20180702
2774.57,2786.89,2722.45,2786.89,11.33,0.41,0.009444619,14249847000,0,20180703
2776.63,2793.18,2754.16,2759.13,-27.76,-1,0.005778916,12326218100,0,20180704
2755.34,2777.52,2727.94,2733.88,-25.25,-0.92,0.003031176,12922611200,0,20180705
2731.35,2768.87,2691.02,2747.23,13.35,0.49,0.004166944,13629438000,0,20180706
2752.45,2815.79,2752.45,2815.11,67.88,2.47,0.008596824,12154930900,0,20180709
